operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
SELECT,geom_data/points.geojson,0.028306460380554198,0.007523176235352644,0.00020020000000000004,1.5793669617919706e-05,points,geojson
INSERT,geom_data/points.geojson,0.05105288028717041,0.0006524871088492603,0.00019594,9.765776978817416e-06,points,geojson
UPDATE,geom_data/points.geojson,0.11790196895599366,0.008040348880937388,0.00017999999999999998,6.9738081418977955e-06,points,geojson
DELETE,geom_data/points.geojson,0.05165584087371826,0.001208761283921223,0.00020212,8.169186005961682e-06,points,geojson
JOIN,geom_data/points.geojson,0.03936333656311035,0.007969505201732762,0.0002089,1.845128721796937e-05,points,geojson
SELECT,geom_data/points.shp,0.022510933876037597,0.0007934518806612442,0.0002209,2.891383751770076e-05,points,shp
INSERT,geom_data/points.shp,0.0448603630065918,0.0042464982933135085,0.00021789999999999998,1.4711899945282392e-05,points,shp
UPDATE,geom_data/points.shp,0.10684292316436768,0.0006503653657890294,0.00018824000000000003,8.811152024565236e-06,points,shp
DELETE,geom_data/points.shp,0.04237258434295654,0.0002718611744365492,0.0002149,8.013114251026247e-06,points,shp
JOIN,geom_data/points.shp,0.034216451644897464,0.007414844483606622,0.00019707,1.4443756436606094e-05,points,shp
SELECT,geom_data/points.gpkg,0.012370967864990234,0.00022056757743304657,0.00020629999999999997,1.6923652088128033e-05,points,gpkg
INSERT,geom_data/points.gpkg,0.06143019199371338,0.008078073199482099,0.000168,1.0173003489628817e-05,points,gpkg
UPDATE,geom_data/points.gpkg,0.1341698408126831,0.010919252706168996,0.00018014000000000002,3.3117765625114267e-05,points,gpkg
DELETE,geom_data/points.gpkg,0.05668220520019531,0.002493292061351897,0.00017564000000000002,1.0388378121728152e-05,points,gpkg
JOIN,geom_data/points.gpkg,0.02567446231842041,0.007608087529252336,0.000202,3.8911309409990305e-05,points,gpkg
SELECT,geom_data/points.parquet,0.006699657440185547,0.0005422529937408581,0.00022464999999999999,4.360140479388251e-05,points,parquet
INSERT,geom_data/points.parquet,0.01595783233642578,0.007822616907679632,0.00021894000000000001,3.3541383394248975e-05,points,parquet
UPDATE,geom_data/points.parquet,0.08282439708709717,0.0023436609775742555,0.0001923,1.2641598000252972e-05,points,parquet
DELETE,geom_data/points.parquet,0.014222335815429688,0.007916366090498,0.0002241,2.716214277261645e-05,points,parquet
JOIN,geom_data/points.parquet,0.021078968048095705,0.007864582783038988,0.00029988000000000004,0.0001632934769058458,points,parquet
SELECT,geom_data/lines.geojson,0.2285745620727539,0.00725338347712547,0.00017128000000000003,5.560539542166753e-06,lines,geojson
INSERT,geom_data/lines.geojson,0.528758955001831,0.026673643632965757,0.00020322,5.978201736308338e-05,lines,geojson
UPDATE,geom_data/lines.geojson,0.85396728515625,0.01889168428180745,0.00017732000000000002,8.878941378340096e-06,lines,geojson
DELETE,geom_data/lines.geojson,0.5851667165756226,0.01181957813682488,0.00017617000000000002,1.0071251163584389e-05,lines,geojson
JOIN,geom_data/lines.geojson,0.33832588195800783,0.012653260439500146,0.00017030000000000002,3.1448370387032777e-06,lines,geojson
SELECT,geom_data/lines.shp,0.11405460834503174,0.015102419204829562,0.00020637000000000005,4.367658526029708e-05,lines,shp
UPDATE,geom_data/lines.shp,0.6291574954986572,0.01107440362684508,0.00018525,2.4784067462787437e-06,lines,shp
DELETE,geom_data/lines.shp,0.2840729713439941,0.024366585115270203,0.00020661,9.767543191611704e-06,lines,shp
JOIN,geom_data/lines.shp,0.18662641048431397,0.013229523835199528,0.00017668,5.229110823074996e-06,lines,shp
SELECT,geom_data/lines.gpkg,0.08803782463073731,0.008315773312338848,0.00019653999999999999,1.8539266436404647e-05,lines,gpkg
INSERT,geom_data/lines.gpkg,0.23672771453857422,0.016113732390450566,0.00017867,2.6732902947491507e-05,lines,gpkg
UPDATE,geom_data/lines.gpkg,0.6014509916305542,0.011452659382128891,0.00016847,2.523509461048251e-06,lines,gpkg
DELETE,geom_data/lines.gpkg,0.23746137619018554,0.018349405394604654,0.00017919999999999996,2.54678228358845e-05,lines,gpkg
JOIN,geom_data/lines.gpkg,0.17053518295288086,0.01333046191622877,0.0001767,6.452906321960673e-06,lines,gpkg
SELECT,geom_data/lines.parquet,0.029591059684753417,0.011018630103440293,0.00022826,2.333491804142453e-05,lines,parquet
INSERT,geom_data/lines.parquet,0.07927262783050537,0.014040976538155269,0.0003941200000000001,0.00027743833837449365,lines,parquet
UPDATE,geom_data/lines.parquet,0.4168314218521118,0.014878597273428803,0.00017201000000000003,1.3064838307457235e-06,lines,parquet
DELETE,geom_data/lines.parquet,0.05829236507415771,0.012011467488206608,0.0002121,8.924348715732701e-06,lines,parquet
JOIN,geom_data/lines.parquet,0.11254539489746093,0.013172878072761452,0.00019844000000000003,1.720983439780871e-05,lines,parquet
SELECT,geom_data/simple_polygons.shp,0.19157211780548095,0.017339991615747098,0.00019268000000000003,3.36591978514046e-05,simple_polygons,shp
INSERT,geom_data/simple_polygons.shp,0.5783238410949707,0.013025979110724827,0.00022371,1.958800653461191e-06,simple_polygons,shp
UPDATE,geom_data/simple_polygons.shp,1.5629390954971314,0.02025508677322665,0.00019293,5.718400125909344e-06,simple_polygons,shp
DELETE,geom_data/simple_polygons.shp,0.6028959035873414,0.04329230251419449,0.00025484,9.136973459521486e-05,simple_polygons,shp
JOIN,geom_data/simple_polygons.shp,0.34553606510162355,0.012450191869168212,0.00017720000000000002,4.313930922024592e-06,simple_polygons,shp
SELECT,geom_data/simple_polygons.gpkg,0.1772059202194214,0.01287832083949447,0.0001799,4.080441152620635e-06,simple_polygons,gpkg
INSERT,geom_data/simple_polygons.gpkg,0.46835143566131593,0.02832855780846125,0.00018258,1.601579220644425e-05,simple_polygons,gpkg
UPDATE,geom_data/simple_polygons.gpkg,1.4824703931808472,0.08609232374103017,0.00017304,3.4563564630980934e-06,simple_polygons,gpkg
DELETE,geom_data/simple_polygons.gpkg,0.45083978176116946,0.022440963901009168,0.00018121,3.297408073017359e-06,simple_polygons,gpkg
JOIN,geom_data/simple_polygons.gpkg,0.3640657901763916,0.018753721315776368,0.00018154,1.6266603825015223e-05,simple_polygons,gpkg
SELECT,geom_data/simple_polygons.parquet,0.07358839511871337,0.01518598609401849,0.00022864,2.9325899815691936e-05,simple_polygons,parquet
INSERT,geom_data/simple_polygons.parquet,0.14215497970581054,0.0116793700716312,0.00020435,4.69156956678679e-05,simple_polygons,parquet
UPDATE,geom_data/simple_polygons.parquet,1.1253378868103028,0.02386533134582889,0.00017868,7.364618116372358e-06,simple_polygons,parquet
DELETE,geom_data/simple_polygons.parquet,0.15309381484985352,0.01783566214684319,0.00021197,4.736904157780691e-05,simple_polygons,parquet
JOIN,geom_data/simple_polygons.parquet,0.24270906448364257,0.014263771084836804,0.00018544,9.68650607804486e-06,simple_polygons,parquet
SELECT,geom_data/complex_polygons.geojson,0.076755690574646,0.0014917131565216762,0.0002,2.154233042175335e-05,complex_polygons,geojson
INSERT,geom_data/complex_polygons.geojson,0.22195808887481688,0.007115161319401122,0.0001877,2.7586228448267486e-06,complex_polygons,geojson
UPDATE,geom_data/complex_polygons.geojson,0.29140276908874513,0.012736194403508722,0.00019266999999999998,2.1492186952471818e-05,complex_polygons,geojson
DELETE,geom_data/complex_polygons.geojson,0.2172708511352539,0.0037489657054272847,0.0001869,4.874423042781576e-06,complex_polygons,geojson
JOIN,geom_data/complex_polygons.geojson,0.13754625320434571,0.007883674776549526,0.00020006999999999997,4.6681153584717687e-05,complex_polygons,geojson
SELECT,geom_data/complex_polygons.shp,0.029372620582580566,0.0003619743867365937,0.00022368000000000003,2.0751327668368592e-05,complex_polygons,shp
INSERT,geom_data/complex_polygons.shp,0.06080107688903809,0.00047510684067110834,0.00022040999999999996,7.956437645077103e-06,complex_polygons,shp
UPDATE,geom_data/complex_polygons.shp,0.1286082983016968,0.008828030035829456,0.00021319999999999998,5.5965703783656655e-05,complex_polygons,shp
DELETE,geom_data/complex_polygons.shp,0.05865163803100586,0.0007662746783094319,0.00022370000000000002,1.0447966309287177e-05,complex_polygons,shp
JOIN,geom_data/complex_polygons.shp,0.0822249174118042,0.007988076848592032,0.00020315999999999997,1.249321415809399e-05,complex_polygons,shp
SELECT,geom_data/complex_polygons.gpkg,0.018420720100402833,0.00045564070357107065,0.00021900000000000006,1.797887649437527e-05,complex_polygons,gpkg
INSERT,geom_data/complex_polygons.gpkg,0.07166438102722168,0.00561824969283949,0.00017930000000000002,7.515982969645423e-06,complex_polygons,gpkg
UPDATE,geom_data/complex_polygons.gpkg,0.1352414608001709,0.0021015171510031573,0.00017953,8.996671606766587e-06,complex_polygons,gpkg
DELETE,geom_data/complex_polygons.gpkg,0.0696908712387085,0.0022182437847972905,0.0001826,1.4346079603849965e-05,complex_polygons,gpkg
JOIN,geom_data/complex_polygons.gpkg,0.08150889873504638,0.008679853223082934,0.00020152,1.5306586817445614e-05,complex_polygons,gpkg
SELECT,geom_data/complex_polygons.parquet,0.010723876953125,0.0005742886934951197,0.00022904999999999996,5.602198229266794e-05,complex_polygons,parquet
INSERT,geom_data/complex_polygons.parquet,0.025110554695129395,0.0016336786452784912,0.00023084000000000003,2.93955847024685e-05,complex_polygons,parquet
UPDATE,geom_data/complex_polygons.parquet,0.09382696151733398,0.013470633891104792,0.00019381000000000002,8.303908718188073e-06,complex_polygons,parquet
DELETE,geom_data/complex_polygons.parquet,0.022457075119018555,0.0006298166270747389,0.0002205,2.2592919244754534e-05,complex_polygons,parquet
JOIN,geom_data/complex_polygons.parquet,0.07779824733734131,0.008596857331141945,0.00022598000000000003,8.050105340925672e-05,complex_polygons,parquet
